Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,ACC,F1,MCC
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,4,0.6595394736842105,0.5707418503778562,0.6476527915139768,0.6595394736842105,0.14167165895131714
Naive Bayes,ivy,ivy-1.1.csv,ivy-1.4.csv,0,0.7593360995850622,0.8171672756549204,0.9186475842182995,0.7593360995850622,0.2547766849084589
Naive Bayes,ivy,ivy-1.1.csv,ivy-1.4.csv,1,0.7593360995850622,0.8171672756549204,0.9186475842182995,0.7593360995850622,0.2547766849084589
Naive Bayes,ivy,ivy-1.1.csv,ivy-1.4.csv,2,0.7593360995850622,0.8171672756549204,0.9186475842182995,0.7593360995850622,0.2547766849084589
Naive Bayes,ivy,ivy-1.1.csv,ivy-1.4.csv,3,0.7593360995850622,0.8171672756549204,0.9186475842182995,0.7593360995850622,0.2547766849084589
Naive Bayes,ivy,ivy-1.1.csv,ivy-1.4.csv,4,0.7593360995850622,0.8171672756549204,0.9186475842182995,0.7593360995850622,0.2547766849084589
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.5653798256537983,0.5132742909318787,0.5915828597939798,0.5653798256537983,0.1414153986478732
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.5653798256537983,0.5132742909318787,0.5915828597939798,0.5653798256537983,0.1414153986478732
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.5653798256537983,0.5132742909318787,0.5915828597939798,0.5653798256537983,0.1414153986478732
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.5653798256537983,0.5132742909318787,0.5915828597939798,0.5653798256537983,0.1414153986478732
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.5653798256537983,0.5132742909318787,0.5915828597939798,0.5653798256537983,0.1414153986478732
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.7483660130718954,0.7466100418662089,0.7450037707390649,0.7483660130718954,0.31080194111016524
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.7483660130718954,0.7466100418662089,0.7450037707390649,0.7483660130718954,0.31080194111016524
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.7483660130718954,0.7466100418662089,0.7450037707390649,0.7483660130718954,0.31080194111016524
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.7483660130718954,0.7466100418662089,0.7450037707390649,0.7483660130718954,0.31080194111016524
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.7483660130718954,0.7466100418662089,0.7450037707390649,0.7483660130718954,0.31080194111016524
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.5668016194331984,0.5466916616194698,0.6563431157303898,0.5668016194331984,0.23896442866689419
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.5668016194331984,0.5466916616194698,0.6563431157303898,0.5668016194331984,0.23896442866689419
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.5668016194331984,0.5466916616194698,0.6563431157303898,0.5668016194331984,0.23896442866689419
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.5668016194331984,0.5466916616194698,0.6563431157303898,0.5668016194331984,0.23896442866689419
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.5668016194331984,0.5466916616194698,0.6563431157303898,0.5668016194331984,0.23896442866689419
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.7415730337078652,0.7021002732929592,0.685440074906367,0.7415730337078652,0.08727974348718268
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,1,0.7415730337078652,0.7021002732929592,0.685440074906367,0.7415730337078652,0.08727974348718268
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,2,0.7415730337078652,0.7021002732929592,0.685440074906367,0.7415730337078652,0.08727974348718268
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,3,0.7415730337078652,0.7021002732929592,0.685440074906367,0.7415730337078652,0.08727974348718268
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,4,0.7415730337078652,0.7021002732929592,0.685440074906367,0.7415730337078652,0.08727974348718268
Logistic Regression,poi,poi-1.5.csv,poi-2.0.csv,0,0.3343949044585987,0.40912546026248475,0.7659485235396093,0.3343949044585987,-0.05762856915622227
Logistic Regression,poi,poi-1.5.csv,poi-2.0.csv,1,0.3343949044585987,0.40912546026248475,0.7659485235396093,0.3343949044585987,-0.05762856915622227
Logistic Regression,poi,poi-1.5.csv,poi-2.0.csv,2,0.3343949044585987,0.40912546026248475,0.7659485235396093,0.3343949044585987,-0.05762856915622227
Logistic Regression,poi,poi-1.5.csv,poi-2.0.csv,3,0.3343949044585987,0.40912546026248475,0.7659485235396093,0.3343949044585987,-0.05762856915622227
Logistic Regression,poi,poi-1.5.csv,poi-2.0.csv,4,0.3343949044585987,0.40912546026248475,0.7659485235396093,0.3343949044585987,-0.05762856915622227
Logistic Regression,xerecs,xerces-1.2.csv,xerces-1.3.csv,0,0.8587196467991169,0.8094999027910055,0.847781556390828,0.8587196467991169,0.24782053094737186
Logistic Regression,xerecs,xerces-1.2.csv,xerces-1.3.csv,1,0.8587196467991169,0.8094999027910055,0.847781556390828,0.8587196467991169,0.24782053094737186
Logistic Regression,xerecs,xerces-1.2.csv,xerces-1.3.csv,2,0.8587196467991169,0.8094999027910055,0.847781556390828,0.8587196467991169,0.24782053094737186
Logistic Regression,xerecs,xerces-1.2.csv,xerces-1.3.csv,3,0.8587196467991169,0.8094999027910055,0.847781556390828,0.8587196467991169,0.24782053094737186
Logistic Regression,xerecs,xerces-1.2.csv,xerces-1.3.csv,4,0.8587196467991169,0.8094999027910055,0.847781556390828,0.8587196467991169,0.24782053094737186
Logistic Regression,synapse,synapse-1.0.csv,synapse-1.1.csv,0,0.7432432432432432,0.6991722223174346,0.7101429592144034,0.7432432432432432,0.225788273736532
Logistic Regression,synapse,synapse-1.0.csv,synapse-1.1.csv,1,0.7432432432432432,0.6991722223174346,0.7101429592144034,0.7432432432432432,0.225788273736532
Logistic Regression,synapse,synapse-1.0.csv,synapse-1.1.csv,2,0.7432432432432432,0.6991722223174346,0.7101429592144034,0.7432432432432432,0.225788273736532
Logistic Regression,synapse,synapse-1.0.csv,synapse-1.1.csv,3,0.7432432432432432,0.6991722223174346,0.7101429592144034,0.7432432432432432,0.225788273736532
Logistic Regression,synapse,synapse-1.0.csv,synapse-1.1.csv,4,0.7432432432432432,0.6991722223174346,0.7101429592144034,0.7432432432432432,0.225788273736532
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.6261682242990654,0.531807857686671,0.5067222963951936,0.6261682242990654,-0.06840559886247913
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.6261682242990654,0.531807857686671,0.5067222963951936,0.6261682242990654,-0.06840559886247913
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.6261682242990654,0.531807857686671,0.5067222963951936,0.6261682242990654,-0.06840559886247913
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.6261682242990654,0.531807857686671,0.5067222963951936,0.6261682242990654,-0.06840559886247913
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.6261682242990654,0.531807857686671,0.5067222963951936,0.6261682242990654,-0.06840559886247913
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.8073394495412844,0.7973562197888922,0.8073862138745526,0.8073394495412844,0.553449618531139
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.8073394495412844,0.7973562197888922,0.8073862138745526,0.8073394495412844,0.553449618531139
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.8073394495412844,0.7973562197888922,0.8073862138745526,0.8073394495412844,0.553449618531139
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.8073394495412844,0.7973562197888922,0.8073862138745526,0.8073394495412844,0.553449618531139
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.8073394495412844,0.7973562197888922,0.8073862138745526,0.8073394495412844,0.553449618531139
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,0.6513157894736842,0.5259822944457918,0.6855263157894737,0.6513157894736842,0.09523809523809523
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,1,0.6513157894736842,0.5259822944457918,0.6855263157894737,0.6513157894736842,0.09523809523809523
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,2,0.6513157894736842,0.5259822944457918,0.6855263157894737,0.6513157894736842,0.09523809523809523
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,3,0.6513157894736842,0.5259822944457918,0.6855263157894737,0.6513157894736842,0.09523809523809523
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,4,0.6513157894736842,0.5259822944457918,0.6855263157894737,0.6513157894736842,0.09523809523809523
Logistic Regression,ivy,ivy-1.1.csv,ivy-1.4.csv,0,0.6556016597510373,0.7420570004855551,0.8987467377630912,0.6556016597510373,0.1170915376462764
Logistic Regression,ivy,ivy-1.1.csv,ivy-1.4.csv,1,0.6556016597510373,0.7420570004855551,0.8987467377630912,0.6556016597510373,0.1170915376462764
Logistic Regression,ivy,ivy-1.1.csv,ivy-1.4.csv,2,0.6556016597510373,0.7420570004855551,0.8987467377630912,0.6556016597510373,0.1170915376462764
Logistic Regression,ivy,ivy-1.1.csv,ivy-1.4.csv,3,0.6556016597510373,0.7420570004855551,0.8987467377630912,0.6556016597510373,0.1170915376462764
Logistic Regression,ivy,ivy-1.1.csv,ivy-1.4.csv,4,0.6556016597510373,0.7420570004855551,0.8987467377630912,0.6556016597510373,0.1170915376462764
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.5541718555417185,0.4603592078903198,0.6217460202477884,0.5541718555417185,0.14002634858311586
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.5541718555417185,0.4603592078903198,0.6217460202477884,0.5541718555417185,0.14002634858311586
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.5541718555417185,0.4603592078903198,0.6217460202477884,0.5541718555417185,0.14002634858311586
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.5541718555417185,0.4603592078903198,0.6217460202477884,0.5541718555417185,0.14002634858311586
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.5541718555417185,0.4603592078903198,0.6217460202477884,0.5541718555417185,0.14002634858311586
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.7450980392156863,0.7528102385802774,0.7645645735933013,0.7450980392156863,0.3606003308797779
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.7450980392156863,0.7528102385802774,0.7645645735933013,0.7450980392156863,0.3606003308797779
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.7450980392156863,0.7528102385802774,0.7645645735933013,0.7450980392156863,0.3606003308797779
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.7450980392156863,0.7528102385802774,0.7645645735933013,0.7450980392156863,0.3606003308797779
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.7450980392156863,0.7528102385802774,0.7645645735933013,0.7450980392156863,0.3606003308797779
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.6194331983805668,0.6158580405411516,0.670529382037465,0.6194331983805668,0.29491470313413687
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.6194331983805668,0.6158580405411516,0.670529382037465,0.6194331983805668,0.29491470313413687
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.6194331983805668,0.6158580405411516,0.670529382037465,0.6194331983805668,0.29491470313413687
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.6194331983805668,0.6158580405411516,0.670529382037465,0.6194331983805668,0.29491470313413687
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.6194331983805668,0.6158580405411516,0.670529382037465,0.6194331983805668,0.29491470313413687
